#separator:Comma
#html:false
"Seconds in a day — the interview value","10^5 (exact: 86,400). Rounding under-counts QPS ~15%; the peak factor swallows it."
"Seconds in a year","3 x 10^7 (~31.5M). For retention math: rate x size x 3x10^7."
"Seconds in a month","2.5 x 10^6 (~2.6M). For monthly bills and rollups."
"X events per day = how many per second?","Divide by 10^5. 1M/day = 10/s. 100M/day = 1k/s. 1B/day = 10k/s."
"2^10 = ?","~10^3 (exact 1,024). The only binary/decimal bridge you need: 2^20 = 10^6, 2^30 = 10^9, 2^32 = 4 x 10^9."
"Multiplying powers of ten","Add exponents. 10^6 things x 10^3 bytes each = 10^9 = 1 GB. A million 1 KB things is a gigabyte."
"1 Gbps in bytes","125 MB/s (divide bits by 8). 10 Gbps = 1.25 GB/s. And 1 Gbps = ~10 TB/day."
"Default object sizes when you don't know","1 KB for a record, 1 MB for a media object — say it and move; refine later."
"Hours that carry ~80% of a region's traffic","~8 hours. Why a single-region peak factor is x5, not x3."
"Peak factors: global / regional / event","x3 global (diurnal bunching), x5 single-region (day compresses into ~8 h), x10+ event (flash sale, final over)."
"Size: a URL","~100 B."
"Size: a short text post","~300 B."
"Size: typical DB row / JSON payload / log line","~1 KB — a couple dozen fields plus index overhead. The default record."
"Size: thumbnail image","~20 KB."
"Size: feed-quality photo","~200 KB — a megapixel or two at 3 B/pixel, divided by ~20x JPEG."
"Size: original phone photo / with all variants","~2 MB original; ~2x with all stored variants = ~4 MB."
"Size: 1 minute of video","~50 MB single 1080p rendition; ~100 MB with all renditions stored. (1080p streams at ~5 Mbps = ~40 MB/min delivered.)"
"Size: a web page, total transfer","~2 MB."
"Latency: L1 cache hit","1 ns — the desk in front of you."
"Latency: main-memory reference","100 ns — off-chip; a DRAM row must charge. A shelf across the room."
"Latency: read 1 MB from RAM","50 us — sequential streaming at ~20 GB/s."
"Latency: NVMe random read","100 us — a NAND page read plus controller queueing. 1,000x a RAM touch."
"Latency: read 1 MB from SSD","1 ms."
"Latency: same-datacenter round trip","0.5 ms — the fiber is ~5 us; switches and two kernels are the other 99%."
"Latency: Redis GET (in-DC, incl. network)","0.5 ms = the network round trip. A cache hit is a network operation; the hash lookup is noise."
"Latency: indexed SQL query, warm","5 ms — B-tree descent in a warm buffer pool, plus parse and protocol."
"Latency: HDD seek","10 ms — an arm sweeps, a platter rotates underneath. Same as 1 MB over 1 Gbps."
"Latency: same-continent / cross-continent round trip","50 ms / 250 ms. Cross-continent floor is physics: ~25,000 km round trip at two-thirds of c. No vendor shortens the Earth."
"Human latency budgets","'Instant' = 100 ms (everything must fit inside it); 'I'll wait' limit = 1 s."
"The latency ladder's law","Each storage tier is ~3 orders of magnitude slower than the one above (RAM ns, SSD us-ms, network/disk ms). Designs argue about which tier the hot path touches."
"The 100 / 1k / 10k rule","Per commodity server (32 vCPU): ~100 QPS heavy work (~100 ms CPU), ~1,000 QPS typical logic (~10 ms), ~10,000 QPS trivial (~1 ms)."
"Usable compute budget of a 32-core box","~10,000 core-ms per second: 32,000 core-ms x 0.6 utilization x ~0.5 in-process losses. Divide by ms-per-request to get QPS."
"Ceiling: SQL reads per node","~5,000 QPS — warm B-tree reads cost a few core-ms each."
"Ceiling: SQL writes per node","~1,000 TPS — every commit waits for fsync + replica ack, serialized. Writes are the wall."
"Ceiling: SQL data per node","A few TB practical — beyond that, shard."
"Ceiling: LSM (Cassandra-style) writes per node","~10,000 TPS — sequential appends now, compaction deferred to background."
"Ceiling: Redis / in-memory KV","~100,000 ops/s — ~10 us per op on one event-loop core. RAM-bound, not CPU-bound."
"Ceiling: Kafka broker","~100 MB/s."
"Ceiling: concurrent WebSockets per server","Plan ~100k (1M+ possible, tuned). A stock, not a rate — sockets cost RAM and file descriptors, not CPU."
"Throughput: NVMe vs HDD","NVMe ~3 GB/s and ~500k IOPS; HDD ~150 MB/s and ~150 IOPS."
"DAU / MAU ratio","25% default — the median user shows up one day in four. Sticky messengers: 50%."
"Peak concurrent users","~10% of DAU — each active user is present ~1.5 of ~16 waking hours."
"Read:write ratio — feeds, content, URL shortener","100:1 — one author, a hundred lurkers."
"Read:write ratio — typical web app","10:1 — most screens display, few submit."
"Read:write ratio — chat, telemetry","~1:1 (then x fan-out) — each event written once, read about once."
"The hot-content law","20% of objects take 80% of reads. Popularity is a power law — the hot head is small enough to buy RAM for."
"Cache sizing rule","Cache = 20% of a day's read volume — the 80/20 working set absorbs most traffic."
"Replication and overhead multipliers","Replication x3; indexes + metadata + headroom x1.5; together: logical bytes x5 = provisioned bytes (databases). Erasure-coded blob stores: x1.5."
"Target utilization for compute","Run at 60% — divide required capacity by 0.6. Running hot is running fragile."
"Compression defaults","Text /3 (logs /10); media already compressed, x1."
"Growth when unstated","x2 per year — and say the assumption out loud."
"Availability: downtime per year at 99.9% / 99.99%","99.9% = 8.8 h/year (44 min/month); 99.99% = 53 min/year (4.4 min/month)."
"Availability composition","Series: multiply (two 99.9% = 99.8%; four parties at three nines = 99.6%). Parallel: 1-(1-a)^2 (two 99% replicas = 99.99%)."
"Cost: compute","~$30 per vCPU-month; the 32-core box = $1k/month. Price designs in boxes first."
"Cost: storage","Object (S3-class) ~$20/TB-month — storage is cheap. Block SSD ~$100/TB-month."
"Cost: moving bytes","Egress ~$100/TB — egress runs the bill. CDN ~$30/TB — why CDNs exist, in one number."
"Cost: an engineer","~$15k/month fully loaded = fifteen 32-core boxes. The build-vs-buy unit; people dominate everything."
"Pocket formulas: traffic","Average QPS = actions/day / 10^5. Peak = x3 (regional x5, event x10)."
"Pocket formulas: storage and bandwidth","Storage = rate x size x retention x 5 (replication + overhead). Bandwidth = QPS x bytes per request, ingress and egress separately."
"Pocket formulas: machines and money","Servers = peak QPS / per-server QPS / 0.6. Shards = max(bytes / 2 TB, write TPS / node ceiling). Monthly cost = boxes x $1k + TB stored x $20 + TB egress x $100."
